OrderID;Product;Category;Brand;Platform;City;Price;Quantity;TotalAmount;Rating;Reviews;OrderDate
ORD100000;Samsung Galaxy A14;Electronics;Samsung;Souq;Cairo;16284,02;1;162,8402;139;1684;11/11/2024
ORD100001;Nike Air Max;Fashion;Nike;Jumia;Alexandria;664,52;2;13,2904;256;3604;22/06/2024
ORD100002;Bluetooth Headset;Accessories;JBL;Jumia;Casablanca;8882,92;3;266,4876;498;1257;27/05/2024
ORD100003;HP Pavilion Laptop;Computers;HP;Souq;Dubai;3665,44;1;36,6544;144;662;25/07/2024
ORD100004;iPhone 13;Electronics;Apple;Souq;Casablanca;5210,37;2;104,2074;373;2424;19/02/2024
ORD100005;T-shirt Cotton;Fashion;Generic;Souq;Riyadh;19869,86;5;993,493;391;2154;28/09/2024
ORD100006;T-shirt Cotton;Fashion;Generic;Souq;Casablanca;17796,11;2;355,9222;418;4309;02/07/2024
ORD100007;Smartwatch FitPro;Wearables;FitPro;Souq;Casablanca;13081,14;3;392,4342;298;3504;30/01/2024
ORD100008;T-shirt Cotton;Fashion;Generic;Amazon;Dubai;51,03;5;2,5515;117;178;21/09/2024
ORD100009;Xiaomi Redmi Note 12;Electronics;Xiaomi;Jumia;Riyadh;6326,57;3;189,7971;205;4589;26/09/2024
ORD100010;Samsung Galaxy A14;Electronics;Samsung;Jumia;Riyadh;10283,51;1;102,8351;305;4702;20/02/2024
ORD100011;Dell Inspiron 3501;Computers;Dell;Jumia;Casablanca;451,79;2;9,0358;428;618;18/05/2024
ORD100012;HP Pavilion Laptop;Computers;HP;Souq;Dubai;5904,49;3;177,1347;26;1215;09/08/2024
ORD100013;HP Pavilion Laptop;Computers;HP;Jumia;Dubai;19853,19;4;794,1276;346;2143;06/04/2024
ORD100014;HP Pavilion Laptop;Computers;HP;Jumia;Alexandria;17920,82;4;716,8328;484;2166;11/07/2024
ORD100015;Xiaomi Redmi Note 12;Electronics;Xiaomi;Amazon;Cairo;15802,27;5;790,1135;175;1853;02/02/2024
ORD100016;Samsung Galaxy A14;Electronics;Samsung;Souq;Alexandria;3529,77;5;176,4885;206;717;09/05/2024
ORD100017;Dell Inspiron 3501;Computers;Dell;Amazon;Cairo;13247,77;3;397,4331;386;4403;17/12/2024
ORD100018;iPhone 13;Electronics;Apple;Amazon;Giza;13936,49;2;278,7298;142;153;24/01/2024
ORD100019;T-shirt Cotton;Fashion;Generic;Souq;Cairo;5953,25;3;178,5975;199;3079;12/03/2024
ORD100020;Adidas Running Shoes;Fashion;Adidas;Amazon;Dubai;9716,95;4;388,678;176;60;28/06/2024
ORD100021;Samsung Galaxy A14;Electronics;Samsung;Jumia;Casablanca;12134,55;4;485,382;461;2413;28/01/2024
ORD100022;iPhone 13;Electronics;Apple;Jumia;Alexandria;3597,29;1;35,9729;463;2559;07/04/2024
ORD100023;Dell Inspiron 3501;Computers;Dell;Jumia;Casablanca;17087,44;3;512,6232;475;2187;07/01/2024
ORD100024;Samsung Galaxy A14;Electronics;Samsung;Souq;Dubai;7396,38;2;147,9276;434;1123;08/02/2024
ORD100025;Xiaomi Redmi Note 12;Electronics;Xiaomi;Souq;Casablanca;15915,39;5;795,7695;173;534;02/01/2024
ORD100026;iPhone 13;Electronics;Apple;Souq;Dubai;14633,56;4;585,3424;30;4444;26/05/2024
ORD100027;HP Pavilion Laptop;Computers;HP;Souq;Giza;1962,43;1;19,6243;455;3542;22/12/2024
ORD100028;Bluetooth Headset;Accessories;JBL;Amazon;Giza;12094,71;2;241,8942;337;628;28/08/2024
ORD100029;Smartwatch FitPro;Wearables;FitPro;Jumia;Dubai;1682,41;2;33,6482;235;3355;23/09/2024
ORD100030;Samsung Galaxy A14;Electronics;Samsung;Jumia;Giza;6584,51;3;197,5353;102;4582;07/09/2024
ORD100031;HP Pavilion Laptop;Computers;HP;Souq;Giza;3760,61;2;75,2122;305;2947;04/05/2024
ORD100032;Dell Inspiron 3501;Computers;Dell;Amazon;Alexandria;15781,15;4;631,246;204;4325;08/08/2024
ORD100033;Adidas Running Shoes;Fashion;Adidas;Souq;Alexandria;9205,93;2;184,1186;153;4684;26/11/2024
ORD100034;Adidas Running Shoes;Fashion;Adidas;Souq;Riyadh;8827,96;5;441,398;222;1653;26/04/2024
ORD100035;iPhone 13;Electronics;Apple;Souq;Casablanca;3698,12;4;147,9248;40;4028;22/06/2024
ORD100036;iPhone 13;Electronics;Apple;Souq;Cairo;19025,22;2;380,5044;107;2108;05/09/2024
ORD100037;Bluetooth Headset;Accessories;JBL;Amazon;Alexandria;7460,49;5;373,0245;176;967;16/10/2024
ORD100038;Dell Inspiron 3501;Computers;Dell;Jumia;Dubai;8959,05;3;268,7715;354;3816;08/09/2024
ORD100039;Xiaomi Redmi Note 12;Electronics;Xiaomi;Jumia;Dubai;16159,36;4;646,3744;266;1433;24/03/2024
ORD100040;HP Pavilion Laptop;Computers;HP;Souq;Giza;14053,17;5;702,6585;292;2252;19/02/2024
ORD100041;Dell Inspiron 3501;Computers;Dell;Amazon;Casablanca;5551,93;5;277,5965;365;4041;24/06/2024
ORD100042;Xiaomi Redmi Note 12;Electronics;Xiaomi;Souq;Dubai;12852,91;4;514,1164;138;4551;28/11/2024
ORD100043;Nike Air Max;Fashion;Nike;Souq;Cairo;8129,36;5;406,468;428;1636;23/01/2024
ORD100044;iPhone 13;Electronics;Apple;Jumia;Casablanca;8545,16;2;170,9032;157;3430;15/10/2024
ORD100045;Nike Air Max;Fashion;Nike;Jumia;Dubai;12387,97;4;495,5188;232;1568;03/01/2024
ORD100046;T-shirt Cotton;Fashion;Generic;Amazon;Giza;10278,34;1;102,7834;439;3827;24/07/2024
ORD100047;Nike Air Max;Fashion;Nike;Jumia;Giza;11576,04;5;578,802;397;2789;24/11/2024
ORD100048;Xiaomi Redmi Note 12;Electronics;Xiaomi;Jumia;Casablanca;12112,14;3;363,3642;37;2088;29/11/2024
ORD100049;Xiaomi Redmi Note 12;Electronics;Xiaomi;Souq;Casablanca;2211,64;4;88,4656;188;1320;10/05/2024
ORD100050;HP Pavilion Laptop;Computers;HP;Jumia;Cairo;3124,84;5;156,242;413;2304;13/01/2024
ORD100051;iPhone 13;Electronics;Apple;Amazon;Riyadh;756,73;2;15,1346;457;3465;23/12/2024
ORD100052;iPhone 13;Electronics;Apple;Souq;Riyadh;14895,57;1;148,9557;373;4267;01/10/2024
ORD100053;Dell Inspiron 3501;Computers;Dell;Jumia;Dubai;18273,23;1;182,7323;146;1062;09/04/2024
ORD100054;Adidas Running Shoes;Fashion;Adidas;Amazon;Alexandria;10005,53;5;500,2765;114;2537;03/07/2024
ORD100055;HP Pavilion Laptop;Computers;HP;Amazon;Alexandria;4126,25;4;165,05;327;1716;09/08/2024
ORD100056;Adidas Running Shoes;Fashion;Adidas;Amazon;Giza;19815,58;5;990,779;393;635;05/02/2024
ORD100057;Adidas Running Shoes;Fashion;Adidas;Amazon;Casablanca;2256,74;3;67,7022;345;1109;26/05/2024
ORD100058;HP Pavilion Laptop;Computers;HP;Amazon;Giza;1482,74;4;59,3096;364;3180;02/07/2024
ORD100059;iPhone 13;Electronics;Apple;Souq;Alexandria;7877,19;1;78,7719;433;74;30/11/2024
ORD100060;iPhone 13;Electronics;Apple;Souq;Riyadh;12970,41;3;389,1123;471;382;10/09/2024
ORD100061;Xiaomi Redmi Note 12;Electronics;Xiaomi;Jumia;Casablanca;12669,24;2;253,3848;104;541;15/03/2024
ORD100062;Bluetooth Headset;Accessories;JBL;Amazon;Riyadh;13550,34;4;542,0136;462;1604;05/05/2024
ORD100063;Smartwatch FitPro;Wearables;FitPro;Jumia;Giza;18610,55;2;372,211;12;23;05/03/2024
ORD100064;T-shirt Cotton;Fashion;Generic;Jumia;Dubai;12309,76;3;369,2928;385;3862;04/01/2024
ORD100065;Dell Inspiron 3501;Computers;Dell;Souq;Riyadh;10538,13;2;210,7626;428;2757;26/02/2024
ORD100066;Bluetooth Headset;Accessories;JBL;Amazon;Dubai;2059,56;1;20,5956;226;4608;18/04/2024
ORD100067;Adidas Running Shoes;Fashion;Adidas;Amazon;Riyadh;867,36;1;8,6736;451;1725;03/07/2024
ORD100068;Bluetooth Headset;Accessories;JBL;Souq;Casablanca;19518,01;2;390,3602;357;4164;06/05/2024
ORD100069;iPhone 13;Electronics;Apple;Souq;Dubai;5639,27;1;56,3927;345;2458;02/12/2024
ORD100070;Xiaomi Redmi Note 12;Electronics;Xiaomi;Souq;Giza;533,83;5;26,6915;298;3744;30/08/2024
ORD100071;Dell Inspiron 3501;Computers;Dell;Amazon;Dubai;15596,39;2;311,9278;472;5000;16/01/2024
ORD100072;Nike Air Max;Fashion;Nike;Jumia;Cairo;3963,43;4;158,5372;122;4677;27/03/2024
ORD100073;Samsung Galaxy A14;Electronics;Samsung;Amazon;Dubai;7881,58;4;315,2632;373;1747;29/10/2024
ORD100074;Adidas Running Shoes;Fashion;Adidas;Amazon;Cairo;8551,18;1;85,5118;456;4219;22/05/2024
ORD100075;iPhone 13;Electronics;Apple;Souq;Alexandria;13558,27;1;135,5827;253;931;04/11/2024
ORD100076;Nike Air Max;Fashion;Nike;Souq;Dubai;17105,39;3;513,1617;268;4192;26/12/2024
ORD100077;Smartwatch FitPro;Wearables;FitPro;Amazon;Casablanca;15288,47;2;305,7694;457;2309;18/07/2024
ORD100078;Xiaomi Redmi Note 12;Electronics;Xiaomi;Souq;Cairo;1908,65;5;95,4325;375;4431;04/10/2024
ORD100079;Bluetooth Headset;Accessories;JBL;Souq;Giza;7564,18;4;302,5672;179;445;10/05/2024
ORD100080;Nike Air Max;Fashion;Nike;Souq;Alexandria;7919,88;2;158,3976;303;1652;11/02/2024
ORD100081;Adidas Running Shoes;Fashion;Adidas;Souq;Giza;17787,92;3;533,6376;492;3648;22/11/2024
ORD100082;Smartwatch FitPro;Wearables;FitPro;Amazon;Giza;4894,12;4;195,7648;13;3235;04/05/2024
